Questions,Actual Ans,,Explanation by GPT,Ans by Gemini,Ans by DeepSeek,Ans by Claude,Ans by Grok
"জীবিত থাকলে যারে কবর দেয়, মরে গেলে তারে খুঁড়ে নেই, বলুন এই সত্তা কে হয়?",চারা,মাছ,"""জীবিত থাকলে যারে কবর দেয়"": মাছ সাধারণত পানির নিচে থাকে, যা যেমন কবরের মতো গা dark ় বা আবদ্ধ।
""মরে গেলে তারে খুঁড়ে নেই"": মৃত মাছ সেখান থেকে তুলে নেওয়া হয়, অর্থাৎ মাছ মরলে তাকে তুলে আনতে হয়, খুঁড়ে বের করা হয়।",,,,
"তুমি সব সময় তাকে উত্তর দাও, কিন্তু সে কখনো তেমন কোনো প্রশ্ন করেনা, বল কে সে?",মোবাইল,মোবাইল,"""তুমি সব সময় তাকে উত্তর দাও"": আমরা মোবাইল ফোনে সবসময় কল বা মেসেজের উত্তর দিয়ে থাকি।
""কিন্তু সে কখনো তেমন কোনো প্রশ্ন করেনা"": মোবাইল ফোন নিজে কখনো প্রশ্ন করে না, তবে মানুষের মাধ্যমে প্রশ্ন করা হয়।",,,,
কোন জিনিসটা ব্যবহারের পূর্বে ভাঙতে হয়?,ডিম,ডিম,"""কোন জিনিসটা ব্যবহারের পূর্বে ভাঙতে হয়?"": ডিম ব্যবহারের আগে তাকে ভাঙতে হয়, যাতে তার ভেতরের তরল ব্যবহার করা যায়।",,,,
"চার অক্ষরে নাম যার, অতীত নিয়ে লেখা প্রথম দুই অক্ষর বাদ দিলে, শুরু হয় প্যাক প্যাক ডাকা.. বলুন তো উত্তরটা কি হবে?",ইতিহাস,বাতাস,"""দেখা যায়"": বাতাস সরাসরি দেখা যায় না, কিন্তু তার প্রভাবে যেমন পাতা বা ধুলো উড়ে গিয়ে দেখা যায়।
""অনুভব করা যায়"": বাতাসের চলাচল বা প্রবাহ অনুভব করা যায়, যেমন গরম বা ঠান্ডা অনুভব হয়।
""ছোঁয়া যায় না"": বাতাসকে সরাসরি ছোঁয়া সম্ভব নয়, কারণ এটি অদৃশ্য এবং ছোঁয়ার উপযুক্ত কোনো স্থিতি নেই।",,,,
কোন জিনিসটা দেখা যায় অনুভব করা যায় কিন্তু ছোঁয়া যায় না?,ধোয়া,হাওয়া,"""দেখা যায়"": হাওয়া সরাসরি দেখা না গেলেও তার প্রভাব দেখা যায় (যেমন পাতা, ধুলো উড়তে দেখা যায়)।
""অনুভব করা যায়"": হাওয়া আমরা অনুভব করতে পারি, যেমন ঠাণ্ডা বা গরম অনুভব হয়।
""ছোঁয়া যায় না"": হাওয়া ছোঁয়া সম্ভব নয় কারণ এটি অদৃশ্য এবং কোনো স্থিতি নেই যা সরাসরি ছোঁয়া যায়।",,,,
"বলুন কি তার নাম, যার আছে তিনটি হাত ; নেই কোন পা কিংবা বডি, এবং মানুষকে উত্তর দেওয়াই যার কাম?",ঘড়ি,ঘড়ি,"""তিনটি হাত"": ঘড়ির কাঁটা তিনটি থাকে—ঘণ্টা, মিনিট, এবং সেকেন্ডের কাঁটা।
""নেই কোন পা কিংবা বডি"": ঘড়ির কোন পা বা শরীর থাকে না, শুধুমাত্র তার কাঁটা (হাত) কাজ করে।
""মানুষকে উত্তর দেওয়াই যার কাম"": ঘড়ি সময় বলতে মানুষের সাহায্য করে, এবং এটি সময়ের উত্তর দেয়।",,,,
এমন একটি শব্দের নাম বল যা বাংলা ৫০ টি অক্ষরকে নির্দেশ করে? ,বর্নমালা,বর্ণমালা,"বাংলা ৫০টি অক্ষরকে নির্দেশ করে"": বাংলা বর্ণমালার মোট ৫০টি অক্ষর (যতটুকু প্রাথমিকভাবে ধরা হয়) থাকে, যা ভowels (স্বরবর্ণ) এবং consonants (ব্যঞ্জনবর্ণ) মিলে গঠিত।
""বর্ণমালা"": বাংলা ভাষার সব অক্ষর বা বর্ণমালা যাকে আমরা জানি, তার নামই ""বর্ণমালা""।",,,,
বলত rain এর শেষে কি হয়?,N হয়,"""ন""","""rain"" শব্দের শেষে ""ন"" অক্ষর আসে। এটি একটি সহজ এবং হাস্যকর রিডল, যেখানে শব্দের শেষ অক্ষরকে প্রশ্ন করা হয়েছে।",,,,
"কোন বাসায় শুধু দুই জন থাকে, কিন্তু কোনো দরজা, জানালা কিংবা ছাদ কিছুই থাকে না? ",ভালোবাসায়,চোখ,"""কোন বাসায় শুধু দুই জন থাকে"": মানুষের দুইটি চোখ থাকে, যেগুলো একসাথে কাজ করে।
""কিন্তু কোনো দরজা, জানালা কিংবা ছাদ কিছুই থাকে না"": চোখে কোন দরজা, জানালা বা ছাদ নেই, তবে এটি দৃষ্টির জন্য ব্যবহৃত হয়।",,,,
"আমি সব কারবারে আকাঙ্ক্ষার নাম, সব সম্পর্কে আছে আমার অবস্থান বলো আমি কে?",লাভ,ভালোবাসা,"""আমি সব কারবারে আকাঙ্ক্ষার নাম"": জীবনের সব ক্ষেত্রেই মানুষ ভালোবাসা আশা করে, এটি সবার কাম্য।
""সব সম্পর্কে আছে আমার অবস্থান"": ভালোবাসা ছাড়া কোনো সম্পর্ক পূর্ণতা পায় না—পরিবার, বন্ধুত্ব, প্রেম, বা মানবিক সম্পর্ক সব জায়গায় এটি বিদ্যমান।",,,,
"কি তার নাম যে, বউয়ের বাপের দুলালী, আমার বাড়ি এলে খায় গালি? ",সালি,শাশুড়ি,"""বউয়ের বাপের দুলালী"" → শাশুড়ি হলেন বউয়ের বাবা-মায়ের মেয়ে, অর্থাৎ বউয়ের মা।
""আমার বাড়ি এলে খায় গালি"" → অনেক মজার কথার মধ্যে শাশুড়ি-জামাই সম্পর্ক নিয়ে প্রচলিত হাস্যরস আছে, যেখানে শাশুড়ির উপস্থিতিতে জামাই কখনো কখনো কটূক্তি বা মজা করে কিছু বলে থাকে। 😄",,,,
"""আমি পড়ে গেলে ছোট হয়ে যাই কিন্তু যে আমাকে দেখে হাসে আমিও তাকে দেখে হাসি.. "" বলো আমি কে?",আয়না,আয়না,"""আমি পড়ে গেলে ছোট হয়ে যাই"" → আয়না ভেঙে গেলে টুকরো টুকরো হয়ে ছোট হয়ে যায়।
""যে আমাকে দেখে হাসে আমিও তাকে দেখে হাসি"" → আয়না প্রতিফলন দেখায়, তাই কেউ আয়নার সামনে হাসলে, আয়নাও তাকে একই হাসি ফিরিয়ে দেয়।",,,,
"""বলত কি সেই গণিতবিদের নাম যার কাছে আছে সকল গণিতের সমাধান?""",ক্যালকুলেটর,গৌতম গণিত,"""যার কাছে আছে সকল গণিতের সমাধান"" → এটি ইঙ্গিত করছে এমন একজন ব্যক্তির প্রতি, যিনি গণিতের সকল সমস্যার সমাধান দিতে পারেন।
""গৌতম গণিত"" নামে সরাসরি কেউ না থাকলেও এটি একটি মজার ধাঁধা, যেখানে ""গণিত"" শব্দটি নামের সাথে যুক্ত করা হয়েছে।
এটি আসলে গটফ্রিড লিবনিজ, ইউক্লিড, আর্যভট্ট বা গাউসের মতো বিখ্যাত গণিতবিদদের দিকেও ইঙ্গিত করতে পারে। তবে ধাঁধার কৌতুকপূর্ণ প্রকৃতির কারণে, ""গণিত"" শব্দটি যুক্ত করে মজার একটা উত্তর বের করা হয়েছে।",,,,
"আমি তোমাকে দুটো জিনিস দেবো যার একটি, সব সময় বসে থাকে কখনো দাঁড়ায় না, আর দ্বিতীয়টির ক্ষুধা এত বেশি তাকে যতই দেবে ততই খাবে।  বল কি নাম জিনিস দুটির?",পাথর ও আগুন,"চেয়ার"" এবং ""আগুন","""যার একটি, সব সময় বসে থাকে কখনো দাঁড়ায় না"" → চেয়ার

চেয়ার সবসময় স্থির থাকে, এটি নিজে কখনো দাঁড়ায় না। মানুষ চেয়ারে বসে, কিন্তু চেয়ার নিজে দাঁড়ানোর ক্ষমতা রাখে না।
""দ্বিতীয়টির ক্ষুধা এত বেশি তাকে যতই দেবে ততই খাবে"" → আগুন

আগুনের ক্ষুধা অফুরন্ত, এটি যা পায় তাই পুড়িয়ে ফেলে এবং আরও জ্বালানি খুঁজতে থাকে",,,,
"তিন অক্ষরে নাম তার পানিতে বাস করে, প্রথম অক্ষর বাদ দিলে স্বাদে মিষ্টি করে। বল কি তার নাম?",মাগুর,নব,"""তিন অক্ষরে নাম তার পানিতে বাস করে"" → নব (ন- ব)

এটি একটি মাছের নাম, যা পানিতে থাকে।
""প্রথম অক্ষর বাদ দিলে স্বাদে মিষ্টি করে"" → নব - 'ন' = 'ব'

এখানে 'ন' বাদ দিলে 'ব' বা 'বাঁ' থাকে, যা ""গুড় বা চিনি দিয়ে বানানো 'বাতাসা'"" কিংবা 'বোঁদে'র মতো মিষ্টির প্রতি ইঙ্গিত করতে পারে।",,,,
"বল কি সেই জালের নাম, যার না আছে কোনো সুতা, ফিতা, তার ; কিন্তু নিমিষেই তোমায় দেবে শেরা সম্পদের সন্ধান। ",আন্তজাল ( ইন্টারনেট ),ইন্টারনেট,"""বল কি সেই জালের নাম"" → এখানে ""জাল"" বলতে আসলে ফিজিক্যাল কোনো মাছ ধরার জাল বা নেট নয়, বরং কোনো নেটওয়ার্ক বোঝানো হচ্ছে।
""যার না আছে কোনো সুতা, ফিতা, তার"" → ইন্টারনেট দৃশ্যমান কোনো সুতা, ফিতা বা তারের উপর নির্ভর করে না (যদিও ফাইবার অপটিক ও ওয়্যারলেস প্রযুক্তি ব্যবহার হয়)।
""কিন্তু নিমিষেই তোমায় দেবে শেরা সম্পদের সন্ধান"" → ইন্টারনেটের মাধ্যমে মুহূর্তের মধ্যেই বিশ্বের যে কোনো তথ্য ও জ্ঞানের সম্পদ পাওয়া যায়।",,,,
"এমন একটি জিনিস যেটা সব লোকই খায়
ছোট ছেলেরা খেলেপরে মায়ের কাছে যায়
বৃদ্ধ লোকে খেলেপরে মাথায় দেয় হাত
যুবক যুবতীরা খেলে এদিক ওদিক তাকায়",আছার,"""কিল"" বা ""চড়""","""এমন একটি জিনিস যেটা সব লোকই খায়"" → সবাই জীবনে কখনো না কখনো কিল-চড় খেয়ে থাকে (রূপক অর্থে)।
""ছোট ছেলেরা খেলেপরে মায়ের কাছে যায়"" → ছোটরা মার খেলে দৌড়ে মায়ের কাছে অভিযোগ করতে যায়।
""বৃদ্ধ লোকে খেলেপরে মাথায় দেয় হাত"" → বৃদ্ধরা যদি কিল-চড় খায়, তারা মাথায় হাত দিয়ে আফসোস করে।
""যুবক যুবতীরা খেলে এদিক ওদিক তাকায়"" → তরুণ-তরুণীরা মার খেলে চারপাশে তাকিয়ে দেখে, কেউ দেখল কিনা!",,,,
"তিন অক্ষরে জিনিসটা 
কি নাম তার বলনা
মাথা কাটলে চলে আর
মাথা না কাটলে চলে না।",পেন্সিল,,,,,,
"মেঘের ডাকে জল ছেড়ে
ডাঙায় উঠে পড়ে
মানুষ তার মাঠে পেলে 
নিয়ে যায় ঘরে।",কইমাছ,,,,,,
"হাত আছে পা নেয় 
মাথা তার কাটা 
আস্ত মানুষ গিলে খায় 
বুক তার ফাটা।",জামা,,,,,,
"তিন অক্ষরে নাম তার
সব লোকে খায়
প্রথম অক্ষর বদ দিলে 
ঘর ছাওয়া যায়।",কুমড়ো,,,,,,
"একই প্রশ্ন কিন্তু 
সবাই আলাদা আলাদা উত্তর দেয়
অথচ সবার উত্তরই ঠিক 
প্রশ্নটি কি ?",তোমার নাম কি ?,,,,,,
"আমি অন্ধকার কিন্তু 
আলো ছাড়া আমার অস্তিত্ব নেই
আমি কে ?",ছায়া,,,,,,
"কোথায় নদী আছে 
কিন্তুু জল নেই
পাহাড় আছে 
কিন্তু পাথর নেই
দেশ আছে 
কিন্তু লোক নেই ?",ম্যাপ বা মানচিত্র,,,,,,
"সমুদ্রে জন্য আমার
থাকি সবার ঘরে
একটু জলের স্পশ্র পেলে
যায় আমি মরে ",নুন বা লবণ,,,,,,
"কত,র মধ্যে কত বাদ দিলে 
কত থাকবে ?",‘র’,,,,,,
"একজন সাঁতারু জলে ডুবে 
সাঁতার কাটলো, চিত সাঁতারও কাটলো 
কিন্তু তার চুল ভিজলোনা, এটা কিভাবে 
সম্ভব ??",কারণ তার মাথায় চুল ছিলনা বা সে টাকলা ছিলো,,,,,,
"একটি মাত্র অক্ষর যোগ করে 
কিভাবে একজন কে বড়ো জন 
করবেন? 

","ড যোগ করে অর্থাৎ এক জন এই লেখাটিতে এক ডজন, এক ডজন অর্থাৎ ১২ ",,,,,,
কোন মাসে শনিবার নেই?,সমাস,,,,,,
কোন তরকারীতে লবন লাগে না?,নোনা ইলিশ,,,,,,
কোন জিনিসের নাম নিলেই সেটি ভেঙ্গে যায়?,নীরবতা,,,,,,
কোন তাল গাছে ধরে না?,হরতাল,,,,,,
"কোন জিনিস একবার খেলে আর খেতে চান না, আপনাকে না জানিয়ে খাওয়ানো হয়।",ধোকা,,,,,,
কোন জিনিস অবিবাহিতদের ৫ টি এবং বিবাহিতদের ৪ টি?,অক্ষার,,,,,,
কোন গ্রামে মানুষ নেই?,টেলিগ্রাম,চিত্রগ্রাম,"""চিত্রগ্রাম"" একটি কাল্পনিক গ্রাম, যেখানে কোনো বাস্তব মানুষ থাকে না, বরং এটি একটি ছবি বা চিত্রের গ্রাম হিসেবে চিত্রিত হয়।",,,,
"কার মাথা আছে, কিন্তু বুদ্ধি নেই?",ছাতা,,,,,,
কী শুধু ওপরে যায় কিন্তু নিচে নামে না?,বয়স,,,,,,
